episode:1, reward: -25.474401859023484, mean reward: -4.83, score: -207.63642269857726, epsilon: 0.8963810592303741, total steps: 129
episode:47, reward: -100, mean reward: -3.36, score: -67.27643271605069, epsilon: 0.8823361198840407, total steps: 631
episode:48, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.882308375809115, total steps: 632
episode:49, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8822806326589765, total steps: 633
episode:50, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8822528904335941, total steps: 634
episode:51, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8822251491329373, total steps: 635
episode:52, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8821974087569749, total steps: 636
episode:53, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8821696693056765, total steps: 637
episode:54, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.882141930779011, total steps: 638
episode:55, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8821141931769476, total steps: 639
episode:56, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8820864564994556, total steps: 640
episode:57, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.882058720746504, total steps: 641
episode:58, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8820309859180623, total steps: 642
episode:59, reward: -100, mean reward: -40.38, score: -201.87652820399646, epsilon: 0.8818923256424198, total steps: 647
episode:60, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.881864596360389, total steps: 648
episode:61, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8818368680026522, total steps: 649
episode:62, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8818091405691786, total steps: 650
episode:63, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8817814140599373, total steps: 651
episode:64, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8817536884748977, total steps: 652
episode:65, reward: -5.179637811743551, mean reward: -5.62, score: -202.14475341410466, epsilon: 0.8807561826719104, total steps: 688
episode:66, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8807284912606806, total steps: 689
episode:67, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8807008007724826, total steps: 690
episode:68, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8806731112072855, total steps: 691
episode:69, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8806454225650586, total steps: 692
episode:70, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.880617734845771, total steps: 693
episode:71, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.880590048049392, total steps: 694
episode:72, reward: -94.75149110751427, mean reward: -2.91, score: -221.01604205037694, epsilon: 0.8784885496162611, total steps: 770
episode:73, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8784609337915402, total steps: 771
episode:74, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8784333188873314, total steps: 772
episode:75, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8784057049036043, total steps: 773
episode:76, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8783780918403277, total steps: 774
episode:77, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8783504796974713, total steps: 775
episode:78, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8783228684750043, total steps: 776
episode:79, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.878295258172896, total steps: 777
episode:80, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8782676487911159, total steps: 778
episode:81, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8782400403296331, total steps: 779
episode:82, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.878212432788417, total steps: 780
episode:83, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.878184826167437, total steps: 781
episode:84, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8781572204666622, total steps: 782
episode:85, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8781296156860623, total steps: 783
episode:86, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8781020118256063, total steps: 784
episode:87, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8780744088852637, total steps: 785
episode:88, reward: -18.76479455008302, mean reward: -5.52, score: -209.8396456554927, epsilon: 0.8770261786533081, total steps: 823
episode:89, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8769986115734736, total steps: 824
episode:90, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8769710454125264, total steps: 825
episode:91, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8769434801704359, total steps: 826
episode:92, reward: -100, mean reward: 1.86, score: 40.93651055829338, epsilon: 0.8763372772532141, total steps: 848
episode:93, reward: -417.42697447701664, mean reward: -417.43, score: -417.42697447701664, epsilon: 0.8763097331363768, total steps: 849
episode:94, reward: -81.36870635299302, mean reward: -2.93, score: -269.4397795870302, epsilon: 0.8737795981446218, total steps: 941
episode:95, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.873752139282334, total steps: 942
episode:96, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8737246813353262, total steps: 943
episode:97, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8736972243035681, total steps: 944
episode:98, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.873669768187029, total steps: 945
episode:99, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8736423129856787, total steps: 946
episode:100, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8736148586994866, total steps: 947
episode:101, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8735874053284219, total steps: 948
episode:102, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8735599528724546, total steps: 949
episode:103, reward: -100, mean reward: -59.1, score: -177.2992702484591, epsilon: 0.8734776009948297, total steps: 952
episode:104, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8734501521989457, total steps: 953
episode:105, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8734227043180063, total steps: 954
episode:106, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.873395257351981, total steps: 955
episode:107, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8733678113008394, total steps: 956
episode:108, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8733403661645508, total steps: 957
episode:109, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8733129219430849, total steps: 958
episode:110, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8732854786364111, total steps: 959
episode:111, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8732580362444989, total steps: 960
episode:112, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.873230594767318, total steps: 961
episode:113, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8732031542048376, total steps: 962
episode:114, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8731757145570276, total steps: 963
episode:115, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.873148275823857, total steps: 964
episode:116, reward: -100, mean reward: -13.89, score: -124.99710936343831, epsilon: 0.8729013683790784, total steps: 973
episode:117, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8728739387906281, total steps: 974
episode:118, reward: -37.76917448543457, mean reward: -4.93, score: -226.7807592979752, epsilon: 0.8716131655909537, total steps: 1020
episode:119, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8715857789418806, total steps: 1021
episode:120, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8715583932056807, total steps: 1022
episode:121, reward: -417.4278919986531, mean reward: -417.43, score: -417.4278919986531, epsilon: 0.8715310083823234, total steps: 1023
episode:122, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8715036244717784, total steps: 1024
episode:123, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8714762414740153, total steps: 1025
episode:124, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8714488593890034, total steps: 1026
episode:125, reward: -19.790977545687138, mean reward: -5.56, score: -200.2745353168732, epsilon: 0.8704637119644091, total steps: 1062
episode:126, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8704363636298182, total steps: 1063
episode:127, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8704090162068235, total steps: 1064
episode:128, reward: -36.56532094507174, mean reward: -2.5, score: -210.02504531012525, epsilon: 0.8681150839652848, total steps: 1148
episode:129, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8680878139169893, total steps: 1149
episode:130, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8680605447776802, total steps: 1150
episode:131, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8680332765473274, total steps: 1151
episode:132, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8680060092259003, total steps: 1152
episode:133, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8679787428133688, total steps: 1153
episode:134, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8679514773097027, total steps: 1154
episode:135, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8679242127148715, total steps: 1155
episode:136, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.867896949028845, total steps: 1156
episode:137, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8678696862515928, total steps: 1157
episode:138, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8678424243830847, total steps: 1158
episode:139, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8678151634232905, total steps: 1159
episode:140, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8677879033721797, total steps: 1160
episode:141, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8677606442297222, total steps: 1161
episode:142, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8677333859958877, total steps: 1162
episode:143, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8677061286706457, total steps: 1163
episode:144, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8676788722539662, total steps: 1164
episode:145, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8676516167458187, total steps: 1165
episode:146, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8676243621461731, total steps: 1166
episode:147, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8675971084549988, total steps: 1167
episode:148, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.867569855672266, total steps: 1168
episode:149, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.867542603797944, total steps: 1169
episode:150, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8675153528320027, total steps: 1170
episode:151, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8674881027744118, total steps: 1171
episode:152, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8674608536251409, total steps: 1172
episode:153, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8674336053841599, total steps: 1173
episode:154, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8674063580514386, total steps: 1174
episode:155, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8673791116269465, total steps: 1175
episode:156, reward: -38.535250274505565, mean reward: -17.44, score: -226.7681728231409, epsilon: 0.8670249907436409, total steps: 1188
episode:157, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8669977570311804, total steps: 1189
episode:158, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8669705242264952, total steps: 1190
episode:159, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8669432923295552, total steps: 1191
episode:160, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.86691606134033, total steps: 1192
episode:161, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8668888312587891, total steps: 1193
episode:162, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8668616020849026, total steps: 1194
episode:163, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.86683437381864, total steps: 1195
episode:164, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8668071464599713, total steps: 1196
episode:165, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.866779920008866, total steps: 1197
episode:166, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8667526944652939, total steps: 1198
episode:167, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8667254698292249, total steps: 1199
episode:168, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8666982461006286, total steps: 1200
episode:169, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8666710232794748, total steps: 1201
episode:170, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8666438013657333, total steps: 1202
episode:171, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8666165803593736, total steps: 1203
episode:172, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8665893602603658, total steps: 1204
episode:173, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8665621410686795, total steps: 1205
episode:174, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8665349227842845, total steps: 1206
episode:175, reward: -100, mean reward: -13.43, score: -67.17442475312035, epsilon: 0.8663988449706198, total steps: 1211
episode:176, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8663716321293374, total steps: 1212
episode:177, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8663444201951345, total steps: 1213
episode:178, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8663172091679809, total steps: 1214
episode:179, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8662899990478466, total steps: 1215
episode:180, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8662627898347011, total steps: 1216
episode:181, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8662355815285142, total steps: 1217
episode:182, reward: -19.760668090747956, mean reward: -14.86, score: -207.99817916590928, epsilon: 0.865854760455629, total steps: 1231
episode:183, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8658275657501948, total steps: 1232
episode:184, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8658003719512357, total steps: 1233
episode:185, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8657731790587214, total steps: 1234
episode:186, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8657459870726217, total steps: 1235
episode:187, reward: -427.05244169234567, mean reward: -427.05, score: -427.05244169234567, epsilon: 0.8657187959929065, total steps: 1236
episode:188, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8656916058195454, total steps: 1237
episode:189, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8656644165525084, total steps: 1238
episode:190, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8656372281917653, total steps: 1239
episode:191, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8656100407372856, total steps: 1240
episode:192, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8655828541890392, total steps: 1241
episode:193, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8655556685469962, total steps: 1242
episode:194, reward: -26.685700634106944, mean reward: -3.57, score: -200.01051756833445, epsilon: 0.8640347179612275, total steps: 1298
episode:195, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8640075839228653, total steps: 1299
episode:196, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8639804507889559, total steps: 1300
episode:197, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8639533185594693, total steps: 1301
episode:198, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8639261872343753, total steps: 1302
episode:199, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8638990568136437, total steps: 1303
episode:200, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8638719272972444, total steps: 1304
episode:201, reward: -100, mean reward: 20.21, score: 141.45894202570886, epsilon: 0.863682046001221, total steps: 1311
episode:202, reward: -332.278447921479, mean reward: -332.28, score: -332.278447921479, epsilon: 0.8636549237183948, total steps: 1312
episode:203, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8636278023396298, total steps: 1313
episode:204, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8636006818648955, total steps: 1314
episode:205, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8635735622941619, total steps: 1315
episode:206, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8635464436273992, total steps: 1316
episode:207, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8635193258645768, total steps: 1317
episode:208, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8634922090056648, total steps: 1318
episode:209, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8634650930506331, total steps: 1319
episode:210, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8634379779994513, total steps: 1320
episode:211, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8634108638520896, total steps: 1321
episode:212, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8633837506085179, total steps: 1322
episode:213, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8633566382687058, total steps: 1323
episode:214, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8633295268326232, total steps: 1324
episode:215, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8633024163002402, total steps: 1325
episode:216, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8632753066715265, total steps: 1326
episode:217, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8632481979464521, total steps: 1327
episode:218, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8632210901249867, total steps: 1328
episode:219, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8631939832071004, total steps: 1329
episode:220, reward: -100, mean reward: -5.13, score: -240.96952081335485, epsilon: 0.8619209767488452, total steps: 1376
episode:221, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.861893913167349, total steps: 1377
episode:222, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8618668504879573, total steps: 1378
episode:223, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8618397887106398, total steps: 1379
episode:224, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8618127278353666, total steps: 1380
episode:225, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8617856678621075, total steps: 1381
episode:226, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8617586087908324, total steps: 1382
episode:227, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8617315506215114, total steps: 1383
episode:228, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8617044933541143, total steps: 1384
episode:229, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8616774369886111, total steps: 1385
episode:230, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8616503815249718, total steps: 1386
episode:231, reward: -31.557519227303157, mean reward: -3.14, score: -219.61086351790192, epsilon: 0.8597587384099596, total steps: 1456
episode:232, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8597317469018736, total steps: 1457
episode:233, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8597047562934896, total steps: 1458
episode:234, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8596777665847775, total steps: 1459
episode:235, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8596507777757072, total steps: 1460
episode:236, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8596237898662491, total steps: 1461
episode:237, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8595968028563729, total steps: 1462
episode:238, reward: -38.13388088863072, mean reward: -7.9, score: -205.2833193283527, epsilon: 0.8588954562546571, total steps: 1488
episode:239, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8588684935221633, total steps: 1489
episode:240, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8588415316884124, total steps: 1490
episode:241, reward: -100, mean reward: -30.4, score: -182.3976528861864, epsilon: 0.8586797795578269, total steps: 1496
episode:242, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8586528240144365, total steps: 1497
episode:243, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8586258693695493, total steps: 1498
episode:244, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8585989156231353, total steps: 1499
episode:245, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8585719627751645, total steps: 1500
episode:246, reward: -13.361968996605482, mean reward: -10.04, score: -200.83866846812955, epsilon: 0.8580330944427166, total steps: 1520
episode:247, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8580061604551374, total steps: 1521
episode:248, reward: -332.7236762859712, mean reward: -332.72, score: -332.7236762859712, epsilon: 0.8579792273653429, total steps: 1522
episode:249, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8579522951733032, total steps: 1523
episode:250, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8579253638789881, total steps: 1524
episode:251, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8578984334823678, total steps: 1525
episode:252, reward: -100, mean reward: -0.05, score: -0.36524815305855896, epsilon: 0.8577099458389689, total steps: 1532
episode:253, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8576830226228304, total steps: 1533
episode:254, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8576561003041174, total steps: 1534
episode:255, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8576291788828001, total steps: 1535
episode:256, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8576022583588486, total steps: 1536
episode:257, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8575753387322329, total steps: 1537
episode:258, reward: -100, mean reward: 14.49, score: 144.93945342936024, epsilon: 0.8573061918129674, total steps: 1547
episode:259, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8572792820550721, total steps: 1548
episode:260, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8572523731941538, total steps: 1549
episode:261, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8572254652301826, total steps: 1550
episode:262, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8571985581631285, total steps: 1551
episode:263, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8571716519929617, total steps: 1552
episode:264, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8571447467196524, total steps: 1553
episode:265, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8571178423431705, total steps: 1554
episode:266, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8570909388634862, total steps: 1555
episode:267, reward: -13.220270729391235, mean reward: -2.34, score: -208.58584549882556, epsilon: 0.8547001172171236, total steps: 1644
episode:268, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8546732943269336, total steps: 1645
episode:269, reward: -14.88800441744157, mean reward: -1.92, score: -210.724902746418, epsilon: 0.8517282281685894, total steps: 1755
episode:270, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8517015043397166, total steps: 1756
episode:271, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8516747814016234, total steps: 1757
episode:272, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.85164805935428, total steps: 1758
episode:273, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8516213381976566, total steps: 1759
episode:274, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8515946179317235, total steps: 1760
episode:275, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8515678985564513, total steps: 1761
episode:276, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.85154118007181, total steps: 1762
episode:277, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.85151446247777, total steps: 1763
episode:278, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8514877457743015, total steps: 1764
episode:279, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8514610299613751, total steps: 1765
